movieID,name,releaseDate,duration,genres,ratingFromTomato,contentRating,ratingFromIMDB,directorID,userID
226,Chicago,2002,113,"Comedy,Crime,Musical",85.83170077924096,PG-13,8.307692307692308,482,329
1340,Walking on Sunshine,2014,97,"Comedy,Drama,Musical",31.0,NR,5.904761904761905,1055,329
1325,Veer-Zaara,2004,192,"Drama,Family,Musical",92.0,NR,8.692307692307692,126,329
996,The Angels' Share,2012,101,"Comedy,Crime,Drama",89.16585898754334,NR,8.071428571428571,460,329
958,Stonewall,2015,129,"Drama,History",9.085104079240592,R,5.3,13,330
850,Riding Giants,2004,105,"Documentary,History,Sport",91.8832195204834,PG-13,7.8,550,330
447,H,2002,106,"Drama,Mystery,Thriller",82.44629222944855,R,5.9,762,330
1184,The Possession of Hannah Grace,2018,86,"Horror,Mystery,Thriller",17.4879558186456,R,5.9375,754,330
919,Slumdog Millionaire,2008,120,"Drama,Romance",90.72582305905695,R,8.333333333333334,43,330
1015,The Calling,2002,117,"Drama,Family",50.9451467375553,R,7.2,787,331
989,Testament,2017,118,"Drama,Family,Fantasy",87.80330162087199,PG,4.8,1144,331
334,Elis,2016,110,"Biography,Drama,Music",24.69862577963063,NR,6.6,1012,331
846,Restoration,1995,117,"Biography,Drama,History",71.01029052402082,R,6.133333333333334,57,331
460,Haunt,2013,86,"Horror,Mystery,Romance",72.27169232477657,R,5.911764705882353,1035,331
1265,Three of Hearts,1993,102,"Comedy,Romance",57.36526183455928,R,5.5,181,331
706,Much Ado About Nothing,2011,161,"Comedy,Romance",85.90817658648687,PG-13,8.6,957,331
591,Last Dance,2002,84,Documentary,33.38028261387494,R,7.4,157,332
1354,What You Gonna Do When the World's on Fire?,2018,123,Documentary,87.0,NR,6.7,907,332
1132,The Kid Who Would Be King,2019,120,"Action,Adventure,Family",86.9493281220157,PG,6.466666666666667,234,332
68,Allied,2016,124,"Action,Drama,Romance",59.7448770166458,R,7.105263157894737,31,332
372,Firestarter,2020,96,Documentary,36.232230968428176,R,8.1,723,332
18,50/50,2010,77,Documentary,92.43750171359711,R,7.8,1133,332
1148,The Lord of the Rings: The Two Towers,2002,179,"Action,Adventure,Drama",92.96397714836856,PG-13,9.1875,58,332
864,Rosewood,1997,140,"Action,Drama,History",85.67279161338917,R,8.090909090909092,113,333
896,Shadow,2016,90,"Crime,Drama",90.91564583565192,NR,-1.0,1275,333
1348,Waves,2005,92,"Drama,Romance",84.0,R,6.9,976,333
91,Another Earth,2011,92,"Drama,Romance,Sci-Fi",65.1246447121049,PG-13,6.538461538461538,1042,333
987,Tap World,2015,72,"Documentary,History,Music",87.16799018431938,NR,7.2,351,333
384,For No Good Reason,2012,89,"Biography,Documentary,History",62.50608528256745,R,7.0,858,333
838,Remember,2015,94,"Drama,Mystery,Thriller",69.25186724203971,R,8.272727272727273,12,333
283,Dead Birds,2004,91,"Horror,Thriller,Western",44.378350940954164,R,5.25,666,334
1099,The Gunman,2016,-1,Western,16.11817279505972,R,-1.0,679,334
1157,The Moth Diaries,2011,82,"Drama,Fantasy,Horror",13.739585653032092,R,4.9,354,334
1337,Wake Wood,2009,90,"Drama,Horror,Thriller",80.0,R,5.785714285714286,411,334
803,Plastic,2014,102,"Action,Comedy,Crime",12.854838540683515,R,6.0,855,334
1365,Wild America,1997,106,"Action,Adventure,Comedy",27.0,PG,6.4,254,334
1021,The Challenge,2016,90,Documentary,78.9100895399614,NR,9.2,1250,334
141,Big Game,2014,90,"Action,Adventure",79.2415127647154,PG-13,6.3,767,335
286,Dead Sushi,2012,92,"Action,Comedy,Horror",98.34715850820166,NR,5.7,793,335
272,Dancer in the Dark,2000,140,"Crime,Drama,Musical",69.23306418013907,R,6.909090909090909,76,335
726,Nicotina,2003,93,"Action,Comedy,Crime",45.54471978913041,R,6.6,589,335
1135,The King and I,2018,160,"Drama,Musical,Romance",18.79369229655622,G,8.0,344,335
241,Cocktail,2010,111,"Drama,Musical,Thriller",61.880435342583,NR,7.2,863,335
1046,The Death of Stalin,2017,107,"Comedy,Drama,History",92.33953110827512,R,8.181818181818182,379,335
783,Parkland,2013,93,"Drama,History,Mystery",49.1472381342049,PG-13,6.1,873,336
494,Horsemen,2009,90,"Crime,Mystery,Thriller",25.621233062968358,R,4.7894736842105265,720,336
625,London Town,2016,92,"Drama,Music",52.75099263354655,R,6.3,183,336
226,Chicago,2002,113,"Comedy,Crime,Musical",85.83170077924096,PG-13,8.307692307692308,482,336
240,Cloudy with a Chance of Meatballs 2,2013,95,"Adventure,Animation,Comedy",68.3444406207436,PG,6.933333333333334,721,336
826,Race,2007,99,"Animation,Sci-Fi",62.7238630952051,PG-13,4.5,185,336
318,Door to Door,2016,60,Horror,56.955387526803335,NR,8.7,1270,336
874,Saturday Church,2017,82,"Drama,Fantasy,Music",90.96134899125886,NR,6.3,953,337
1267,Thunderstruck,2004,98,"Comedy,Drama,Music",20.209500910934164,PG,6.2,147,337
907,Showdown in Little Tokyo,1991,79,"Action,Comedy,Crime",27.518492728477334,R,6.470588235294118,451,337
