movieID,name,genres,ratingFromIMDB,userID
131,Bend It Like Beckham,"Comedy,Drama,Romance",7.666666666666667,222
190,Brother,"Crime,Drama,Thriller",8.11111111111111,222
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,222
669,Mary and Max,"Animation,Comedy,Drama",8.23076923076923,222
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,222
922,Snapshots,Drama,8.724137931034482,222
1145,The Lives of Others,"Drama,Mystery,Thriller",9.0,222
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,222
1263,Thor: Ragnarok,"Action,Adventure,Comedy",8.583333333333334,222
7,13,"Crime,Drama,Thriller",7.928571428571429,172
54,Akeelah and the Bee,"Drama,Family",8.076923076923077,172
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,172
131,Bend It Like Beckham,"Comedy,Drama,Romance",7.666666666666667,172
190,Brother,"Crime,Drama,Thriller",8.11111111111111,172
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,172
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,172
1311,Untamed Heart,"Drama,Romance",7.764705882352941,172
1325,Veer-Zaara,"Drama,Family,Musical",8.692307692307692,172
1381,X-Men: First Class,"Action,Adventure,Sci-Fi",8.307692307692308,172
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,97
295,Delhi Belly,"Action,Comedy,Crime",8.166666666666666,97
311,Doctor Strange,"Action,Adventure,Fantasy",8.076923076923077,97
313,Dolemite Is My Name,"Biography,Comedy,Drama",7.714285714285714,97
339,Enemy of the State,"Action,Thriller",7.933333333333334,97
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,97
669,Mary and Max,"Animation,Comedy,Drama",8.23076923076923,97
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,97
1145,The Lives of Others,"Drama,Mystery,Thriller",9.0,97
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,97
401,Frost/Nixon,"Biography,Drama,History",8.272727272727273,75
470,Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,7.75,75
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,75
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,75
902,Shaun of the Dead,"Comedy,Horror",8.583333333333334,75
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,75
922,Snapshots,Drama,8.724137931034482,75
1145,The Lives of Others,"Drama,Mystery,Thriller",9.0,75
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,75
1381,X-Men: First Class,"Action,Adventure,Sci-Fi",8.307692307692308,75
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,147
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,147
909,Shutter Island,"Mystery,Thriller",7.857142857142857,147
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,147
922,Snapshots,Drama,8.724137931034482,147
950,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Sci-Fi",8.6,147
1145,The Lives of Others,"Drama,Mystery,Thriller",9.0,147
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,147
1325,Veer-Zaara,"Drama,Family,Musical",8.692307692307692,147
1381,X-Men: First Class,"Action,Adventure,Sci-Fi",8.307692307692308,147
190,Brother,"Crime,Drama,Thriller",8.11111111111111,64
226,Chicago,"Comedy,Crime,Musical",8.307692307692308,64
237,"Clean, Shaven","Crime,Drama,Thriller",8.076923076923077,64
254,Cool Runnings,"Adventure,Comedy,Family",7.333333333333333,64
266,"Crouching Tiger, Hidden Dragon","Action,Adventure,Drama",7.846153846153846,64
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,64
1006,The Best Man Holiday,"Comedy,Drama",8.0,64
1072,The Filth and the Fury,"Biography,Documentary,Music",9.0,64
1263,Thor: Ragnarok,"Action,Adventure,Comedy",8.583333333333334,64
1381,X-Men: First Class,"Action,Adventure,Sci-Fi",8.307692307692308,64
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,109
401,Frost/Nixon,"Biography,Drama,History",8.272727272727273,109
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,109
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,109
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,109
922,Snapshots,Drama,8.724137931034482,109
1145,The Lives of Others,"Drama,Mystery,Thriller",9.0,109
1263,Thor: Ragnarok,"Action,Adventure,Comedy",8.583333333333334,109
1311,Untamed Heart,"Drama,Romance",7.764705882352941,109
1381,X-Men: First Class,"Action,Adventure,Sci-Fi",8.307692307692308,109
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,82
237,"Clean, Shaven","Crime,Drama,Thriller",8.076923076923077,82
470,Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,7.75,82
472,Heaven & Earth,"Action,Biography,Drama",7.5,82
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,82
902,Shaun of the Dead,"Comedy,Horror",8.583333333333334,82
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,82
922,Snapshots,Drama,8.724137931034482,82
1145,The Lives of Others,"Drama,Mystery,Thriller",9.0,82
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,82
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,41
295,Delhi Belly,"Action,Comedy,Crime",8.166666666666666,41
311,Doctor Strange,"Action,Adventure,Fantasy",8.076923076923077,41
313,Dolemite Is My Name,"Biography,Comedy,Drama",7.714285714285714,41
470,Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,7.75,41
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,41
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,41
922,Snapshots,Drama,8.724137931034482,41
1145,The Lives of Others,"Drama,Mystery,Thriller",9.0,41
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,41
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,196
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,196
629,Lost and Delirious,"Drama,Romance",7.818181818181818,196
652,Mail Order Wife,Comedy,7.791666666666667,196
707,Mudbound,"Drama,War",7.818181818181818,196
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,196
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,196
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,196
922,Snapshots,Drama,8.724137931034482,196
1263,Thor: Ragnarok,"Action,Adventure,Comedy",8.583333333333334,196
295,Delhi Belly,"Action,Comedy,Crime",8.166666666666666,79
311,Doctor Strange,"Action,Adventure,Fantasy",8.076923076923077,79
313,Dolemite Is My Name,"Biography,Comedy,Drama",7.714285714285714,79
339,Enemy of the State,"Action,Thriller",7.933333333333334,79
401,Frost/Nixon,"Biography,Drama,History",8.272727272727273,79
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,79
669,Mary and Max,"Animation,Comedy,Drama",8.23076923076923,79
1171,The Others,"Horror,Mystery,Thriller",7.75,79
1325,Veer-Zaara,"Drama,Family,Musical",8.692307692307692,79
1381,X-Men: First Class,"Action,Adventure,Sci-Fi",8.307692307692308,79
589,La Haine,"Crime,Drama",7.846153846153846,181
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,181
669,Mary and Max,"Animation,Comedy,Drama",8.23076923076923,181
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,181
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,181
902,Shaun of the Dead,"Comedy,Horror",8.583333333333334,181
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,181
